"survey.id","species","rep_accy","first_obs","last_obs","day","month","year","directions","surveysite","site.id","lat","lon","survey.conducted","pop_data","annobs","hab_desc","min_el","max_el","aspect","slope","ma_name","ma_com","prot_com","misc_com","specimen","short_ref","data.type","age","individual.id","time.to.detect","count","pass.id","survey.pass"
38,"RACA","High","5/13/1992","5/13/1992",13,5,1992,"TRIBUTARY TO BUCKEYE CREEK, APPROX. 1.0 MI S OF ACKER ROCK.","BUCKEYE CREEK",38,43.0319,-122.3848,1,"2 ADULT AND 12 JUVENILES OBSERVED.",NA,"PERENNIAL STREAM WITH SMALL SIDE CHANNEL; SIDE CHANNEL HAS SEVERAL POOLS UP TO 12"" DEEP AND IS WELL SHADED BY VINE MAPLE AND HAS SOIL BANKS WITH HEAVY GOUND COVER.",2040,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS- SHULTZ, LAMBERT",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"38_1"
39,"RACA","Low","1990","1990",NA,NA,1990,"ODELL CREEK",NA,39,43.3304,-121.562,1,"2 OBSERVED; 1 - .25 MILES DOWNSTREAM FROM HWY 50; BRIDGE ON ODELL CREEK. 1 - 1.O MILE DOWNSTREAM FROM MAKLAKS CREEK.",NA,"RIPARIAN - MIXED CONIFER, LODGEPOLE",4700,NA,NA,NA,"Deschutes National Forest; CRESCENT RANGER DISTRICT",NA,NA,"1990 ODFW SIGHTING REPORT; SHAW, TODD & KERRY PETERSON",NA,"Peterson 1990; Shaw 1990","PO","NR",NA,NA,1,1,"39_1"
40,"RACA","High","1997-06","1997-06",NA,6,1997,"FULLER LAKE","FULLER LAKE",40,43.2409,-122.2942,1,"1997: 100 INCLUDING 2 ADULTS AND 100'S OF TADPOLES SEEN/TRAPPED.",NA,NA,4905,NA,NA,NA,"NORTH UMPQUA RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: T. BELCHER.",NA,"Davis ","PO","NR",NA,NA,1,1,"40_1"
41,"RACA","Low","7/12/1969","7/13/1990",13,7,1990,"BIG BEN-SOUTH FORK CAMPGROUND AREAS INCLUDING NICHOLS, SAM, BIG BEN, GREEN AND FREY CREEKS, AND BLACK BEAR SWAMP.",NA,41,42.3824,-122.1905,1,"1990: 5 TO 9 FROGS, AGE UNKNOWN. 1969: ADULTS COLLECTED.",NA,"MODERATE TO SLOW MOVING WATER WITH ROCK AND MUCK BOTTOM; MOSS COVERED ROCKS, AQUATIC VEGETATION; WET MEADOW, BOG (SWAMP) JUST NORTH OF CREEK.",4100,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest; Sky Lakes Wilderness Area",NA,"RECREATIONAL USE BY CAMPERS.","1990 FS SIGHTING REPORT, SMITH, M. &amp; D. TEGHTMEYER. COLLECTOR: MICHAEL LAIS, SOSC MUSEUM OF NATURAL HISTORY.",NA,"Teghtmeyer 1990; Lais 1969; Smith 1990","PO","NR",NA,NA,1,1,"41_1"
42,"RACA","Medium","8/15/1990","8/15/1990",15,8,1990,"BERRY TIMBER SALE UNIT 14, ON NE CORNER OF UNIT AMONG SERVICEBERRY CK.","BERRY TIMBER SSALE",42,42.5454,-122.4008,1,"1990: 4 FROGS CAUGHT & IDENTIFIED.",NA,"SMALL TRICKLE OF WATER WITH A NARROW BORDER OF RIPARIAN VEGETATION. NO PONDS.",4400,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: TED SCHATTENKERK",NA,"Schattenkerk 1990","PO","NR",NA,NA,1,1,"42_1"
43,"RACA","Low","4/29/1993","4/29/1993",29,4,1993,"UNDER POWERLINE IN DITCH ALONG LEMOLO CANAL NO. 2. USFS RD 300, APPROX 0.4 MI N OF CLEARWATER RIVER/MAPLE CREEK CONFLUENCE.","MAPLE CREEK",43,43.1449,-122.2129,1,"1993: 1 FROG OBSERVED.",NA,"EPHEMERAL POND IN DRAINAGE DITCH ALONG RD.",3320,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: ENGEL & GARRETT",NA,"Engel ","PO","NR",NA,NA,1,1,"43_1"
44,"RACA","Low","5/17/1990","5/17/1990",17,5,1990,"RD. 37 TO 3790, &lt;1/4 MI. JCT ON LEFT (BEFORE 200 RD) WHERE FOOL CREEK INTERSECTS WITH ROAD, POND AND MARSHY RIPARIAN AREA.",NA,44,42.4254,-122.2038,1,"SAW ABOUT 7 IN AREA ABOUT 1/4 ACRE. BREEDING, EGG-LAYING, LARVAL HATCH AND GROWTH. IMMATURE FOUND IN MARSH TO NW OF POND.",NA,"POND ON PERRENIAL STREAM, WITH ADJACENT MARSHY AREA. AQUATIC AND RIPARIAN VEGETATION. SITE PARTLY SHADED BY MIXED CONIFERS ABOUT 120 YRS. OLD. ASSOC W/ AQUATIC VEGETATION AND INSECTS.",3800,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest",NA,"NEARBY LOGGING (BUFFER STRIPS LEFT ALONG CRK); TRAMPLING OF VEGETATION BY HIKERS.","1990 FS SIGHTING REPORT, R. SMITH, D. TEGHTMEYER, S. BURTON",NA,"Teghtmeyer 1990; Smith 1990; Burton 1990","PO","NR",NA,NA,1,1,"44_1"
45,"RACA","High","7/11/1995","7/11/1995",11,7,1995,"SWAMPY LAKES; APPROXIMATELY 13 MILES WSW OF BEND.","SWAMPY LAKES",45,44.0024,-121.3459,1,"1995: 3 POST-HATCHING, PREMETAMORPHIC FROGS OBSERVED.",NA,NA,5860,NA,NA,NA,"Bend/Fort Rock Ranger District; Deschutes National Forest",NA,NA,"FROGS FOUND DURING A SURVEY FOR OREGON SPOTTED FROG.",NA,"Hayes 1997","PO","NR",NA,NA,1,1,"45_1"
46,"RACA","High","8/16/1995","8/16/1995",16,8,1995,"FREDENBERG POND; NE OF FREDENBERG BUTTE.","FREDENBERG POND",46,42.3518,-122.3238,1,"1995: 1 INDIVIDUAL, SVL 45 MM.",NA,NA,4000,NA,NA,NA,"MEDFORD BLM DISTRICT; BUTTE FALLS RESOURCE AREA",NA,NA,"OBSERVER: M. GATES",NA,"Harper ","PO","NR",NA,NA,1,1,"46_1"
47,"RACA","Low","6/4/1993","6/4/1993",4,6,1993,"UNDER FISH CREEK CANAL FLUME ALONG USFS RD 220, APPROX 0.3 MI S OF JCT WITH USFS RD 233.","FISH CREEK CANAL",47,43.1444,-122.2704,1,"1993: 1 FROG OBSERVED.",NA,"EMERGENT WETLAND ADJACENT TO SMALL CREEK FLOWING UNDER CANAL FLUME.",3040,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: K. ENGEL",NA,"Engel ","PO","NR",NA,NA,1,1,"47_1"
48,"RACA","High","7/25/1996","7/25/1996",25,7,1996,"STREAM IS JUST SOUTH OF FORKED HORN SPRINGS.","FORKED HORN SPRINGS",48,43.0949,-121.541,1,"1996: 2 JUVENILES",NA,"PERMANENT STREAM WITH PEAT-GRAVEL-ROCK SUBSTRATE.",5000,NA,NA,NA,"Fremont-Winema National Forest; CHEMULT RANGER DISTRICT",NA,NA,"OBSERVER: HOLLY HARRIS, LISA KRENTZ, THOMAS LOSSEN.",NA,"Hayes 1997","PO","NR",NA,NA,1,1,"48_1"
49,"RACA","Very High","7/27/1994","7/27/1994",27,7,1994,"CROOKED CREEK, 0.2 TO 0.8 MILES ABOVE CONFLUENCE WITH JACKSON CREEK","CROOKED CREEK",49,42.5816,-122.3958,1,"1994: 2 FROGS",NA,"STREAM THROUGH DOUGLAS FIR AND HEMLOCK",1840,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: TONY PARRA. FS RECORD #A-05-350, A-05-352",NA,"Masters ","PO","NR",NA,NA,1,1,"49_1"
50,"RACA","Low","2/10/1997","2/10/1997",10,2,1997,"ABOUT 2 KM SOUTH OF EAGLE ROCK, SOUTH OF N. UMPQUA RIVER",NA,50,43.1632,-122.3254,1,"1997: 3 FOUND AROUND AND IN POOL, ALSO EGG MASSES.",NA,NA,2720,NA,NA,NA,"NORTH UMPQUA RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVED BY: T.BELCHER & M.WIDMANN",NA,"Davis ","PO","NR",NA,NA,1,1,"50_1"
51,"RACA","High","6/1/1994","6/1/1994",1,6,1994,"POND 1/2 KM SE OF HIDDEN LAKE OUTLET AND ROUGHLY 500 FT. SW OF OPHIOGLOSSUM SWAMP (ANOTHER POND).","HIDDEN LAKE",51,44.01,-122.1348,1,"1994: 5 ADULTS CAPTURED AND RELEASED.","1994 - 5 ADULTS","WILLOW, BROWN MOSS, SKUNK CABBAGE.",3140,NA,NA,NA,"MCKENZIE RESOURCE AREA; Northwest Oregon BLM District",NA,NA,"OBSERVER: JOHN APPLEGARTH",NA,"Applegarth ","PO","NR",NA,NA,1,1,"51_1"
52,"RACA","Very High","1993","1993",NA,NA,1993,"GOLD LAKE BOG","GOLD LAKE BOG",52,43.3822,-122.0202,1,"1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY.",NA,"ASSOC SSP: PACIFIC TREE FROG, SPOTTED FROG, WESTERN TOAD. NO BULLFROGS PRESENT.",4820,NA,NA,NA,"Willamette National Forest; Middle Fork Ranger District; Gold Lake Bog RNA",NA,NA,NA,NA,"Hayes 1994","PO","NR",NA,NA,1,1,"52_1"
53,"RACA","High","4/2/1992","4/2/1992",2,4,1992,"OFF 2924-900 RD, ABOUT 400 FT DOWN THE ROAD FROM THE 2924-2924/900 JCT IN POND JUST S OF S UMPQUA RIVER.","TRAP SALVAGE",53,43.0252,-122.4227,1,"2 ANIMALS OBSERVED, ALSO FOUND EGG MASSES MATCHING THE DESCRIPTION OF RANA CASCADAE FOUND CLOSE TO SHORE, CLOSE TO SURFACE.",NA,"POND LOCATED ALONG WETLAND STRIP, SMALL STREAM FEEDING POND; POND CONTAINING ALGAE MATS, FISH, CATTAILS AND OTHER WATER PLANTS.",1680,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,"POND SITUATED 3 FT. FROM LOGGING RD.","OBSERVER- JEFF ROUYER",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"53_1"
54,"RACA","Low","1993","1993",NA,NA,1993,"LITTLE CRATER MEADOWS, ALONG INFLOW POINT OF CRATER CREEK INTO TIMOTHY LAKE.","LITTLE CRATER MEADOWS",54,45.0841,-121.45,1,"1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY.",NA,"LOW EMERGENT MARSH AND MEADOW. ASSOC SSP: PACIFIC TREEFROG.",3300,NA,NA,NA,"Mount Hood National Forest; BEAR SPRINGS RANGER DISTRICT",NA,NA,NA,NA,"Hayes 1994","PO","NR",NA,NA,1,1,"54_1"
55,"RACA","Medium","5/8/1996","5/8/1996",8,5,1996,"SUMMIT PRAIRIE POND","SUMMIT PRAIRIE",55,42.3922,-122.3253,1,"1996: 7 FROGS OBSERVED.",NA,"POND",4560,NA,NA,NA,"MEDFORD BLM DISTRICT; BUTTE FALLS RESOURCE AREA",NA,NA,"OBSERVER: C.BEAUSOLEIL BLK RECORD #: 406E",NA,"Harper ","PO","NR",NA,NA,1,1,"55_1"
56,"RACA","Low","4/27/1993","4/27/1993",27,4,1993,"UPPER MOUNTAIN MEADOWS APPROX 0.25 MILES EAST OF USFS RD 101",NA,56,43.1844,-122.2129,1,"1993: 1 FROG AND 2 EGG MASSES.",NA,"30'x 20' POND IN GRASSLAND",3050,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER; M. GARETT AND K. ENGEL",NA,"Engel ","PO","NR",NA,NA,1,1,"56_1"
57,"RACA","High","1943","1943",NA,NA,1943,"SANTIAM LAKE",NA,57,44.2839,-121.5306,1,"SPECIES REPORTED AT THIS SITE",NA,NA,5124,NA,NA,NA,"Willamette National Forest; DETROIT RANGER DISTRICT; Mount Jefferson Wilderness Area",NA,NA,"OBSERVER: F.G.EVENDEN. ORIGINALLY REPORTED AS R. PRETIOSA LUTEIVENTRIS (NEVADA SUBSPECIES OF SPOTTED FROG)",NA,"Evenden 1943; Hayes 1994","PO","NR",NA,NA,1,1,"57_1"
58,"RACA","High","3/3/1992","3/3/1992",3,3,1992,"28 RD TO 2ND 29 RD (ALONG BUCKEYE CR) TAKE RIGHT ON 2924 RD THEN LEFT ON 900 RD AND RIGHT ONTO 905 RD. SERIES OF PONDS IS EAST OF DRAW.","TWIN BUCK CREEK",58,43.0209,-122.3804,1,"ONE RANA CASCADAE OBSERVED; ALSO, MANY PEA SIZED EGGS WITH BROWN CENTERS IN SMALL CLUMPS ATTACHED TO SUBMERGED VEGETATION. ALSO SOME LARGER EGG MASSES COMPOSED OF LARGER INDIVIDUAL EGGS WITH BLACK CENTERS.",NA,"SEVERAL PONDS TO THE EAST OF THE DRAW; DO NOT APPEAR TO BE RELATED TO THE STREAM, PROBABLY SPRING FED AND RELATED TO SMALL CREEK THAT CROSSES 905 RD.; THICK UNDERSTORY VEG., NUMEROUS DEAD WOODY MATERIAL AND MULTI-LAYER CANOPY; PONDS SHALLOW WITH THICK BRUSH AT EDGES.",2680,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER- S. PLAMBECK",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"58_1"
59,"RACA","Low","1993","1993",NA,NA,1993,"N END OF BIG LAKE.","BIG LAKE",59,44.2254,-121.5158,1,"1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY.",NA,"MODERATE-SIZED, SHALLOW, WARM WATER MARSH. ASOC SSP: PACIFIC TREEFROG, WESTERN TOAD. NO BULLFROGS PRESENT.",4650,NA,NA,NA,"Mount Washington Wilderness Area; McKenzie Ranger District; Willamette National Forest",NA,NA,NA,NA,"Hayes 1994","PO","NR",NA,NA,1,1,"59_1"
60,"RACA","Low","1993","1999",NA,NA,1999,"MINK LAKE; IN MINK LAKE BASIN","MINK LAKE",60,43.5554,-121.553,1,"1999: 28 frogs captured and released. 1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY","1999 - 28 frogs captured and released; 1993 - PRESENT","ASSOC SSP: PACIFIC TREE FROG; NO BULLFROGS PRESENT",5034,NA,NA,NA,"McKenzie Ranger District; Willamette National Forest; Three Sisters Wilderness Area",NA,NA,"1999: From ODWF scientific takings report, R. Bruce Bury. 1993: OBSERVER: M. HAYES",NA,"Hayes 1994","PO","NR",NA,NA,1,1,"60_1"
61,"RACA","Low","1990","7/10/1990",10,7,1990,"FS37 TO SKEETER SWAMP AND SKEETER CREEK",NA,61,42.2655,-122.2324,1,"SAW 9 FROGS, GENERAL LIVING.",NA,"AQUATIC - OCCASIONALLY SEEN IN VAME ON STREAM BANK, USUALLY SEEN ON MOSS COVERED ROCKS IN STREAM CHANNEL. ALSO FOUND IN FLOWERING AQUATIC VEGETATION.",3800,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest","IN MEDFORD WATERSHED",NA,"1990 SIGHTING REPORT, TEGHTMEYER, D. AND M. SMITH",NA,"Teghtmeyer 1990; Smith 1990","PO","NR",NA,NA,1,1,"61_1"
62,"RACA","High","7/24/1995","7/24/1995",24,7,1995,"ON LITTLE RIVER, ABOUT 2.4 KM EAST OF LAKE IN THE WOODS.",NA,62,43.1302,-122.4135,1,"1995: 2 FOUND.",NA,NA,3600,NA,NA,NA,"NORTH UMPQUA RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVED BY: D.MAJORS",NA,"Davis ","PO","NR",NA,NA,1,1,"62_1"
63,"RACA","High","7/24/1996","7/24/1996",24,7,1996,"LOWER GRADIENT PORTION OF EVENING CREEK JUST ABOVE MILLER LAKE","EVENING CREEK",63,43.1427,-121.5844,1,"1996: 19 INDIVIDUALS, 7 ADULTS & 12 JUVENILES",NA,"PERMANENT STREAM WITH BOULDER-COBBLE SUBSTRATE",5700,NA,NA,NA,"Fremont-Winema National Forest; Mount Thielsen Wilderness Area; CHEMULT RANGER DISTRICT",NA,NA,"OBSERVER: REBECCA GABERT, LISA KRENTZ, THOMAS LOSSEN.",NA,"Hayes 1997","PO","NR",NA,NA,1,1,"63_1"
64,"RACA","High","1943","1943",NA,NA,1943,"BLUE LAKE, EIGHT LAKES BASIN","BLUE LAKE",64,44.3115,-121.5219,1,"SPECIES REPORTED AT THIS SITE",NA,NA,5240,NA,NA,NA,"Willamette National Forest; DETROIT RANGER DISTRICT; Mount Jefferson Wilderness Area",NA,NA,"OBSERVER: F.G.EVENDEN. ORIGINALLY REPORTED AS R. PRETIOSA LUTEIVENTRIS (NEVADA SUBSPECIES OF SPOTTED FROG)",NA,"Evenden 1943; Hayes 1994","PO","NR",NA,NA,1,1,"64_1"
65,"RACA","Low","1987","7/8/1992",8,7,1992,"JACKPOT MEADOW",NA,65,45.1214,-121.4634,1,"1992: MANY FROGLETS OBSERVED. 1987:MANY CASCADE FROGS SEEN IN THE SUMMER; NO EVIDENCE OF BREEDING OR YOUNG SEEN.",NA,"NATURAL WET MEADOW WITH MEANDERING STREAM; GRASSES, SEDGES, RUSHES AND SEVERAL BOGGY SPOTS WITH CALTHA, SUNDEWS, CAMAS; SURROUNDED BY FOREST",3800,NA,NA,NA,"Salmon-Huckleberry Wilderness Area; Mount Hood National Forest; BEAR SPRINGS RANGER DISTRICT",NA,"NO REGULAR USE. NO OR VERY LIGHT CATTLE GRAZING.",NA,NA,"Corkran 1987; Corkran 1993","PO","NR",NA,NA,1,1,"65_1"
66,"RACA","High","7/4/1969","7/4/1969",4,7,1969,"FIRST BRIDGE ACROSS FOSTER CREEK IN SMALL STREAM ENTERING FOSTER CREEK.","FOSTER CREEK",66,43.0134,-122.2324,1,"1969: ADULTS COLLECTED",NA,"LOGGED CONIFEROUS FOREST",4000,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest",NA,NA,"COLLECTOR: MIKE LAIS. SOSC MUS. NAT. HISTORY.",NA,"Lais 1969","PO","NR",NA,NA,1,1,"66_1"
67,"RACA","High","1987","7/28/1987",28,7,1987,"ANVIL CK., APPROX. 2 MI. WEST OF TIMOTHY LAKE.","WINDY MEADOW",67,45.0707,-121.5022,1,"1987: 5+ FROGS SEEN ON CREEK BELOW MEADOW 7-28-87; NO BREEDING OR YOUNG OBSERVED.",NA,"BEAVER DAM CREATED LONG, NARROW POOL ON STREAM THROUGH NATURAL MEADOW. SHORELINE MARSHY, BRUSHY AT SW END, AQUATIC VEG. OF POND LILIES AND SOME PONDWEED AT N END. SHORELINE VEG. IS DENSE, TALL SEDGES AND GRASSES, MORE AT SW END; SURROUNDED BY FOREST, SOME STUMPS PRESENT.",3600,NA,NA,NA,"ZIGZAG RANGER DISTRICT; Mount Hood National Forest",NA,"SITE APPEARS NOT TO BE VISITED. CLEARCUTS NEARBY","NE SIDE FILLING IN. SW END MAY NEED TO BE BURNED TO SET BACK INVADING BRUSH & LODGEPOLES, AND COULD EXCAVATE ADDITIONAL AT SW END OR DEEPEN EXISTING ONE, W/O INTERFERING W/WATER TABLE.",NA,"Corkran 1987","PO","NR",NA,NA,1,1,"67_1"
68,"RACA","High","1995-08","1995-08",NA,8,1995,"ON CAVITT CR., JUST NORTH OF CAVITT FALLS","CAVITT CREEK FALLS",68,43.1204,-123.0119,1,"1995: 5 FOUND.",NA,NA,1050,NA,NA,NA,"SWIFTWATER RESOURCE AREA; CAVITT CREEK FALLS NATIONAL RECREATION AREA; ROSEBURG BLM DISTRICT",NA,NA,"OBSERVED BY: D. MAJORS",NA,"Davis ","PO","NR",NA,NA,1,1,"68_1"
69,"RACA","High","4/27/1993","6/25/1993",25,6,1993,"ALONG LEMOLO NO. 2 CANAL AT ALVIN CK FLUME. ALSO IN EPHEMERAL POND APPROX. 0.25 MILES N OF JCT OF USFS RD 100 AND ALVIN CREEK.","ALVIN CREEK",69,43.1932,-122.1949,1,"1993: 2 FROGS OBSERVED.",NA,"EMERGENT WETLAND ADJACENT TO ALVIN CREEK.",3240,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: S. SUNDBERG",NA,"Sundberg 1993; Engel ","PO","NR",NA,NA,1,1,"69_1"
70,"RACA","High","1994","1994",NA,NA,1994,"CRATER SPRING, CRATER LAKE NATIONAL PARK","CRATER SPRING",70,42.5955,-122.1514,1,"7 SPECIMENS COLLECTED, DATES NOT GIVEN",NA,NA,5320,NA,NA,NA,"CRATER LAKE NATIONAL PARK; Sphagnum Bog RNA",NA,NA,"MUSEUM COLLECTIONS: KU30219, 128079-83, 206431",NA,"Hayes 1994","PO","NR",NA,NA,1,1,"70_1"
71,"RACA","Low","1934","1934",NA,NA,1934,"MUNSON VALLEY, CRATER LAKE NATIONAL PARK, FROM MUNSON SPRING TO .5 MILES SOUTH OF PARK HEADQUARTERS","MUNSON",71,42.5319,-122.0817,1,"11 SPECIMENS COLLECTED - DATES NOT GIVEN. 1934: 2 SPECIMENS COLLECTED",NA,NA,6400,NA,NA,NA,"CRATER LAKE NATIONAL PARK",NA,NA,"COLLECTION: 1934: SMITHSONIAN 00095235-6. HEADQUARTERS CAS SU 9940-3, MUNSON SPRING KU 23544; MUNSON MEADOWS CAS-SU 3863-4, KU23549, MUZ50264-5; MUNSON VALLEY, .5 MI S GOVERNMENT CAMP MUZ17606",NA,"Hayes 1994","PO","NR",NA,NA,1,1,"71_1"
72,"RACA","Low","8/27/1992","8/27/1992",27,8,1992,"1 MI WSW DEAD HORSE BUTTE","SOOSAP MEADOW",72,45.043,-122.15,1,"1992: 19 UNKNOWN SEX ADULTS, 6 MALE ADULTS, 4 FEMALE ADULTS, 100 YOUNG.",NA,"SLOW MEANDERING POOLS. POOLS IN MEADOWS AND WET MEADOWS FEEDING STREAMS. OLD GROWTH CONIFER FOREST",4000,NA,NA,NA,"CASCADES RESOURCE AREA; Northwest Oregon BLM District; Clackamas Wilderness Area",NA,NA,"OBSERVER: HODGSON/FRONZUTO/DOWLAN/IRVING",NA,"Salem BLM Wildlife Observations database 1993","PO","NR",NA,NA,1,1,"72_1"
73,"RACA","High","5/18/1992","5/18/1992",18,5,1992,"2 MI NW OF SKOOKUM POND, ALONG TWIN BUCK CREEK",NA,73,43.0202,-122.3733,1,"1992:5 ADULTS, 3 JUVENILES.",NA,NA,3120,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,NA,NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"73_1"
74,"RACA","Low","7/18/1993","7/18/1993",18,7,1993,"LOWER END OF SLIDE CREEK.","SLIDE CREEK",74,43.1739,-122.2816,1,"1993: 1 FROG",NA,"STREAM CHANNEL",1800,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: R. TRESSLER & J. RUDE",NA,"Engel ","PO","NR",NA,NA,1,1,"74_1"
75,"RACA","Low","7/15/1993","7/15/1993",15,7,1993,"FALLEN MOUNTAIN CREEK; TRIBUTARY TO LEMOLO FOREBAY NO 2, NORTH OF TOKETEE LAKE.","FALLEN MOUNTAIN CREEK",75,43.1732,-122.2451,1,"1993: 12 FROGS",NA,"OBSERVED ALONG STREAM, VEGETATED WITH VINE MAPLE.",3240,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: M. GARRETT & K. ENGEL.",NA,"Engel ","PO","NR",NA,NA,1,1,"75_1"
