"survey.id","species","rep_accy","first_obs","last_obs","day","month","year","directions","surveysite","site.id","lat","lon","survey.conducted","pop_data","annobs","hab_desc","min_el","max_el","aspect","slope","ma_name","ma_com","prot_com","misc_com","specimen","short_ref","data.type","age","individual.id","time.to.detect","count","pass.id","survey.pass"
76,"RACA","High","8/21/1987","8/21/1987",21,8,1987,"BURNT LAKE; EAST OF ZIG ZAG EAST LOOKOUT (ZIGZAG MT)","BURNT LAKE",76,45.2059,-121.4804,1,"SAW 1 FROG SUMMER '87; NO BREEDING OR YOUNG OBSERVED.",NA,"NATURAL POND WITH ASSOC. SMALL POOLS AND WET MEADOW. SHORELINE PARTLY MARSHY, PARTLY STEEPER AND ROCKY. PATCHES OF POND LILIES IN ALL THE SMALLER, POOLS. NARROW BAND OF SEDGES AROUND 1/4 OF SHORE AND SHORES OF ALL THE SMALL POOLS. ALDER AND SPIREA BOUND THE REST OF THE LAKE. SURROUNDING VEG. INCLUDES SEDGE MEADOW, W/SPIREA SURROUNDED BY FOREST. LOGS AND SNAGS AROUND ALL POOLS.",4100,NA,NA,NA,"ZIGZAG RANGER DISTRICT; Mount Hood Wilderness Area; Mount Hood National Forest",NA,"TRAIL AROUND LAKE; HIKING & FISHING USE; APPEARS ALMOST UNDISTURBED",NA,NA,"Corkran 1987","PO","NR",NA,NA,1,1,"76_1"
77,"RACA","High","1987","8/27/1987",27,8,1987,"DEVILS LAKE, EAST OF DEVILS MEADOW CAMPGROUND OFF ZIGZAG MT. RD.","DEVILS LAKE",77,45.2024,-121.493,1,"AT LEAST 4 SEEN IN SUMMER '87, PROBABLY BREEDING, BUT NO YOUNG OBSERVED.",NA,"LARGE, SHALLOW BEAVER POND, TINY MEANDERING STREAMS, EXTENSIVE SERIES OF MEADOWS. SEDGES & GRASSES, SPIREA AND OTHER LOW BRUSH, PART STEEP AND ROCKY. AQUATIC VEG. INCLUDES SMALL PATCHES OF POND LILY, LARGE AREAS OF POND WEED, SOME SEDGES. SURROUNDING VEG. GRASSES, SEDGE MEADOWS & FOREST, WITH SEVERAL HUGE SNAGS.",3950,NA,NA,NA,"ZIGZAG RANGER DISTRICT; Mount Hood Wilderness Area; Mount Hood National Forest",NA,"NEAR TRAIL, BUT APPEARS SELDOM VISITED","BEAVER POND FILLING IN WITH DIRT AND WOODY DEBRIS, PARTS OF MEADOW BEING INVADED BY ALDER AND FIR.",NA,"Corkran 1987","PO","NR",NA,NA,1,1,"77_1"
78,"RACA","Low","8/31/1994","8/31/1994",31,8,1994,"BIG MARSH.",NA,78,43.2328,-121.5711,1,"1994: 1 ADULT",NA,NA,4729,NA,NA,NA,"Deschutes National Forest; CRESCENT RANGER DISTRICT",NA,NA,NA,NA,"Hayes 1995","PO","NR",NA,NA,1,1,"78_1"
79,"RACA","High","9/1/1994","9/1/1994",1,9,1994,"EDGE OF UPPER MINER CREEK POND.","SURVEYOR MOUNTAIN",79,42.1209,-122.0904,1,"1994: 1 ADULT MALE; NUPTIAL PADS VISIBLE",NA,NA,5340,NA,NA,NA,"Fremont-Winema National Forest; KLAMATH RANGER DISTRICT",NA,NA,"HAYES SITE # SW-5",NA,"Hayes 1995","PO","NR",NA,NA,1,1,"79_1"
80,"RACA","High","7/9/2007","7/9/2007",9,7,2007,NA,"Little Butte Creek",80,42.2047,-122.1839,1,"2007: (07/09): Frogs observed during ODFW Oregon Plan Habitat Survey.",NA,NA,4935,NA,NA,NA,"Rogue River-Siskiyou National Forest",NA,NA,NA,NA,"Tippery 2011","PO","NR",NA,NA,1,1,"80_1"
81,"RACA","Low","1987","6/30/1987",30,6,1987,"ABOUT TWO MILES EAST OF WARM SPRINGS HWY & JUST EAST OF FROG LAKES BUTTE","FROG LAKE BUTTES",81,45.1259,-121.3918,1,"5 FROGS SEEN",NA,"NATURAL SHALLOW PONDS & MEADOW; SHORELINE IS GRASSY MEADOW, PART ROCKY. NO AQUATIC VEG. IN LAKE (MAY DRY UP IN SUMMER), BUT POND LILIES AND A FEW SEDGES (APPEARS TO BE PERMANENT WATER). SURROUNDED BY FOREST. A FEW SNAGS AND STUMPS CLOSE BY.",4600,NA,NA,NA,"Mount Hood Wilderness Area; Mount Hood National Forest; BEAR SPRINGS RANGER DISTRICT",NA,"ROAD WITHIN .5 MILES","WETLAND APPEARS STABLE",NA,"Corkran 1987","PO","NR",NA,NA,1,1,"81_1"
82,"RACA","Medium","8/22/1983","6/1/1994",1,6,1994,"HIDDEN LAKE; APPROX 11 MILES S AND 3.5 MILES W OF MCKENZIE BRIDGE","HIDDEN LAKE",82,44.0115,-122.141,1,"1994: 1 JUVENILE OBSERVED BASKING ON A LOG. 1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY. 1983: ADULT FEMALE COLLECTED.","1994 - 1 JUVENILE; 1993 - PRESENT; 1983 - 1 ADULT FEM COLLECTED","SMALL BOG ON NORTH SIDE OF HIDDEN LAKE. ASSOC SSP: PACIFIC TREE FROG",3285,NA,NA,NA,"MCKENZIE RESOURCE AREA; Northwest Oregon BLM District",NA,NA,"OBSERVER: M. HAYES; D. W SMITH USNM-# 294912- ORIGINALLY IDENTIFIED AS R. PRETIOSA",NA,"Hayes 1994; Applegarth ","PO","NR",NA,NA,1,1,"82_1"
83,"RACA","High","1993","1993",NA,NA,1993,"JORN LAKE; EIGHT LAKES BASIN IN THE MT. JEFFERSON WILDERNESS AREA","JORN LAKE",83,44.3104,-121.5158,1,"1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY. DATE NOT SPECIFIED: 10 SPECIMENS COLLECTED.",NA,"ASSOC SSSP: PACIFIC TREE FROG",5070,NA,NA,NA,"Willamette National Forest; DETROIT RANGER DISTRICT; Mount Jefferson Wilderness Area",NA,NA,"OBSERVER: M. HAYES; UNKNOWN COLLECTOR- OSUMNH5407-16",NA,"Hayes 1994","PO","NR",NA,NA,1,1,"83_1"
84,"RACA","High","7/3/1969","7/3/1969",3,7,1969,"WIZARD CREEK, 3 MILES UP NATIONAL FALLS RD FROM FOSTER CREEK CAMP AT BRIDGE CROSSING WIZARD CREEK.","WIZARD CREEK",84,43.0014,-122.2158,1,"1969: 3 ADULTS COLLECTED",NA,"GRASSY FIELDS ALONG CREEK, NEARBY SLOPES HEAVY WITH CONIFEROUS FOREST.",3800,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest",NA,NA,"COLLECTOR: MIKE LAIS. SOSC MUS. NAT. HISTORY.",NA,"Lais 1969","PO","NR",NA,NA,1,1,"84_1"
85,"RACA","High","7/18/1994","7/18/1994",18,7,1994,"UPPER JACKSON CREEK, NEAR BEDROCK FALLS, APPROX 200 FT FROM CONFLUENCE WITH GRASSHOPPER CREEK.","JACKSON CREEK",85,43.0225,-122.3019,1,"1994: 1 FROG.",NA,"STREAM THROUGH DOUGLAS FIR, HEMLOCK, CEDAR AND YEW WITH VINE MAPLE, OREGON GRAPE.",4000,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: TONY PARRA. FS RECORD # A-05-338.",NA,"Masters ","PO","NR",NA,NA,1,1,"85_1"
86,"RACA","Low","4/30/1993","4/30/1993",30,4,1993,"APPROX 0.5 MI E OF JCT EVA CREEK & CAMAS CREEK, ALONG USFS RD 3701. (ORIGINALLY LISTED AS T26S).","CAMAS CREEK",86,43.1351,-122.2657,1,"1993: 1 ADULT.",NA,"DRAINAGE DITCH ALONG RD IN MIXED CONIFER FOREST.",2960,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: ENGEL & GARRETT.",NA,"Engel ","PO","NR",NA,NA,1,1,"86_1"
87,"RACA",NA,"5/26/1991","8/6/2009",6,8,2009,"N ON FS RD 28 PAST BOZE SHELTER.TURN LEFT ON UNMARKED RD JUST BEFORE FRENCH CREEK SIGN. WALK .75 MI UP ROAD. FROGS IN PUDDLE ON RIGHT SIDE OF ROAD.G","BOZE SHELTER; Camas Creek",87,43.0904,-122.3224,1,"2009: (08/06): Frogs observed during ODFW Oregon Plan Habitat Survey. 1991:2 ANIMALS REHYDRATING.",NA,"PUDDLE IN ROADSIDE DITCH",3400,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,NA,NA,"Tiller Ranger District 1992; Tippery 2011","PO","NR",NA,NA,1,1,"87_1"
88,"RACA","Low","7/18/1993","7/18/1993",18,7,1993,"SLIDE CREEK APPROX 1.5 MI UPSTREAM FROM POWER PLANT.","SLIDE CREEK",88,43.1809,-122.2702,1,"1993: 1 FROG",NA,"SHALLOW WATER RUNNING OVER BEDROCK.",2640,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: C. MCSHANE & M. GARRETT",NA,"Engel ","PO","NR",NA,NA,1,1,"88_1"
89,"RACA","High","1992-07","1992-07",NA,7,1992,"OUTLET OF MILLER LAKE, IN FIRST 50 FEET OF MILLER CREEK. ACCESS BY ROAD 9772","MILLER LAKE",89,43.1315,-121.5653,1,"1992: 1 JUVENILE WITHIN 1 ACRE.",NA,"OUTLET OF MILLER LAKE INTO MILLER CREEK. WIDTH OF ""STREAM"" ABOUT 60 FEET. HEAVY WITH WOODY DEBRIS. ASSOC WITH LODGPOLE PINE, SEDGES.",5600,NA,NA,NA,"Fremont-Winema National Forest; CHEMULT RANGER DISTRICT",NA,NA,"OBSERVER: RANDY FLOYD",NA,"Floyd ; Tyson 1990","PO","NR",NA,NA,1,1,"89_1"
90,"RACA","High","7/30/1991","7/30/1991",30,7,1991,"SEVENMILE CREEK TRAILHEAD/PICNIC AREA. IN CREEK BELOW PICNIC AREA.","SEVENMILE CREEK TRAILHEAD",90,42.4155,-122.09,1,"1991: 5-6 ADULTS.",NA,"ROCK AREA OF CREEK & GRASSY BANK.",5480,NA,NA,NA,"Fremont-Winema National Forest; KLAMATH RANGER DISTRICT; Sky Lakes Wilderness Area",NA,NA,"OBSERVER: E. OLMEDO & C. MALTBIE",NA,"Tyson 1990","PO","NR",NA,NA,1,1,"90_1"
91,"RACA","Low","7/13/1993","7/13/1993",13,7,1993,"UPPER END OF SLIDE CREEK.","SLIDE CREEK",91,43.1848,-122.2542,1,"1993: 7 FROGS.",NA,"STREAM CHANNEL",3440,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: M. GARRETT & K. ENGEL",NA,"Engel ","PO","NR",NA,NA,1,1,"91_1"
92,"RACA","Very High","7/31/1994","7/22/2009",22,7,2009,"Lonewoman Creek; also ALONG UNNAMED TRIBUTARY TO TRIANGLE LAKE, 1/5 MILE NE OF THE LAKE.","TRIANGLE LAKE; Lonewoman Creek",92,43.0056,-122.301,1,"2009: (07/22): Frogs observed during ODFW Oregon Plan Habitat Survey. 1994: HIGH FROG DENSITY, MANY YOUNG FROGS.",NA,"SMALL WET MEADOW ALONG LOW GRADIENT STREAM WITH NUMEROUS POOLS. TSHE/ACTR PRISTINE OLD GROWTH.",4700,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest; Rogue-Umpqua Divide Wilderness Area",NA,NA,"OBSERVER: W. YAMAMOTO. FS RECORD # A-05-345.",NA,"Masters ; Tippery 2011","PO","NR",NA,NA,1,1,"92_1"
93,"RACA","Low","1994","1994",NA,NA,1994,"LITTLE DESCHUTES RIVER NEAR COW CREEK CAMP.",NA,93,43.1822,-121.5201,1,"1994: 20+ LARVAE, 4 JUVENILES & 4 ADULTS.",NA,NA,5004,NA,NA,NA,"Deschutes National Forest; CRESCENT RANGER DISTRICT",NA,NA,NA,NA,"Hayes 1995","PO","NR",NA,NA,1,1,"93_1"
94,"RACA","Low","7/24/1934","7/24/1934",24,7,1934,"VIDAE FALLS, CRATER LAKE NATIONAL PARK","VIDAE FALLS",94,42.5305,-122.06,1,"1934: 1 SPECIMEN COLLECTED. DATE NOT SPECIFIED: 1 SPECIMEN COLLECTED",NA,NA,6600,NA,NA,NA,"CRATER LAKE NATIONAL PARK",NA,NA,"1934: NATL MUSEUM OF NATIONAL HISTORY #00095232. DATE NOT SPECIFIED: CM32792",NA,"Hayes 1994","PO","NR",NA,NA,1,1,"94_1"
95,"RACA","High","7/24/2012","7/24/2012",24,7,2012,"South of Dennis Lake, north of Stormy Lake.","Dennis Lake",95,43.5129,-121.5739,1,"2012 (7/24): Juveniles, larvae, and eggs observed in ponds.",NA,NA,5800,6000,NA,NA,"Willamette National Forest; Three Sisters Wilderness Area",NA,NA,NA,NA,"Blevins ","PO","NR",NA,NA,1,1,"95_1"
96,"RACA","Medium","5/16/1996","5/16/1996",16,5,1996,"BOARD MTN. AREA; APPROX 4 MI W. OF TRAIL",NA,96,42.3829,-122.531,1,"1996: 1 FEMALE OBSERVED.",NA,"FRAGMENTED OLD GROWTH AND MIXED HABITAT",3080,NA,NA,NA,"MEDFORD BLM DISTRICT; BUTTE FALLS RESOURCE AREA",NA,NA,"OBSERVER: C. BEAUSOLEIL BLM RECORD #: 412E",NA,"Harper ","PO","NR",NA,NA,1,1,"96_1"
97,"RACA","Very High","7/22/1983","8/27/1996",27,8,1996,"SOUTH PUCK LAKE AND PONDS TO THE SOUTH. INCLUDES PONDS P-1, P-2, P-3 IN HAYES REPORT.","CHERRY CREEK BASIN",97,42.3736,-122.1034,1,"1996: 5 ADULTS, 8 JUVENILES AT P-2, 0 OBSERVED AT P-1 (OVER 2 VISITS), P-3 WAS DRY, S PUCK HAD 9 ADULTS, 140 JUVENILES, 7 METAMORPHS, & 4 EGG MASSES. 1995: 2 ADULTS, 7 JUVENILES AND 1 LARVAE AT SOUTH PUCK; 8 ADULTS AT P-1; 2 ADULTS, 5 JUVENILES AND 1 LARVAE AT P-2; 0 AT P-3. 1994: 6 EGG MASSES AND 24 JUVENILES AT MAIN LAKE; 8 JUVENILES AT P-1; 7 JUVENILES AND 4 ADULTS AT P-2. 1983: 26 ADULTS AND LOTS OF TADPOLES.",NA,"COMPLEX OF A LAKE AND 3 SMALL PONDS BELOW THE LAKE OUTFLOW. MOUNTAIN HEMLOCK WITH GRASSY BANKS.",6500,NA,NA,NA,"Fremont-Winema National Forest; Cherry Creek Basin RNA; KLAMATH RANGER DISTRICT; Sky Lakes Wilderness Area",NA,NA,"OBSERVER: HAYES (1994-95); RON AND MELISSA MILLER (1983), IDENTIFIED FROGS AS SPOTTED FROGS BUT PROBABLY CASCADE FROG BASED ON ELEVATION.",NA,"Hayes 1995; Hayes 1997","PO","NR",NA,NA,1,1,"97_1"
98,"RACA","High","8/31/2010","8/31/2010",31,8,2010,NA,"Mike's Gulch",98,42.152,-123.4233,1,"2010: (08/31): Frogs observed during ODFW Oregon Plan Habitat Survey.",NA,NA,1400,1650,NA,NA,NA,NA,NA,NA,NA,"Tippery 2011","PO","NR",NA,NA,1,1,"98_1"
99,"RACA","Low","5/6/2000","5/7/2000",7,5,2000,"RIPPLEBROOK; ROUTE 224 TO THREELYNX GRAVEL ROAD PAST FROG LAKE NEAR RIPPLEBROOK RANGER STATION, MT HOOD NATIONAL FOREST.","RIPPLEBROOK",99,45.0519,-122.0206,1,"2000: 8 FROGS; MIXED GENDER.",NA,"CONGREGATION ADULTS AND SUBADULTS.",2275,NA,NA,NA,"Clackamas River Ranger District; Mount Hood National Forest",NA,"A POTENTIAL FOR UNINTENTIONAL DISTURBANCES EXISTS; LOGING OPERATION NEARBY, SITE CLOSE TO ROAD.","OBSERVERS BY DAVID AND DAWN HARRINGTON.",NA,"Harrington ","PO","NR",NA,NA,1,1,"99_1"
100,"RACA","Low","4/27/1993","7/12/1993",12,7,1993,"W END OF LEMOLO LAKE & JCT WITH LEMOLO NO. 1 CANAL. ALSO ALONG WHITE MULE CREEK.","LEMOLO LAKE",100,43.1938,-122.1204,1,"1993: 1 INDIVIDUAL FOUND IN FISH TRAP AND 1 FROG OBSERVED IN POOL ALONG WHITE MULE CREEK AND APPROX. 16 EGG MASSES SUSPENDED IN 6""-8"" DEEP WATER.",NA,"CANAL AND 5X4 FT POOL IN LODGEPOLE PINE FOREST.",4040,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,NA,NA,"Engel ","PO","NR",NA,NA,1,1,"100_1"
101,"RACA","High","5/14/1990","5/14/1990",14,5,1990,"NW OF HEY YOU T. S. UNIT 6. ALONG TRIB TO S. UMPQUA RIVER. APPROX. 1.0 MI NE OF ANDRAIEFF MEADOWS.","SOUTH UMPQUA",101,43.0452,-122.3824,1,"2 SMALL CASCADE FROGS OBSERVED IN POOLS.",NA,"MEADOW AND ROCK OUTCROPS NEARBY; POISON OAK, GRASS, INCENSE CEDAR.",2080,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER- PATTY TURCOTTE",NA,"Turcotte 1992","PO","NR",NA,NA,1,1,"101_1"
102,"RACA","High","7/5/1934","7/5/1934",5,7,1934,"BOUNDARY SPRING; CRATER LAKE NATIONAL PARK, WEST-NORTHWEST PARK BOUNDARY","BOUNDARY SPRING",102,43.0404,-122.1348,1,"1934: 4 SPECIMENS COLLECTED. DATE NOT GIVEN: 1 SPECIMEN COLLECTED",NA,NA,5255,NA,NA,NA,"CRATER LAKE NATIONAL PARK",NA,NA,"1934 COLLECTION: SMITHSONIAN #00095233-34, 37-38. DATE NOT GIVEN: CAS-SU-#3865",NA,"Hayes 1994","PO","NR",NA,NA,1,1,"102_1"
103,"RACA","Low","5/28/1993","5/28/1993",28,5,1993,"ALONG USFS RD 700, APPROX 0.6 MI N OF JCT WITH USFS RD 620.","OAK FLATS",103,43.1634,-122.3059,1,"1993: 1 FROG & OVER 500 TADPOLES.",NA,"POND EXTENDING ONTO RD WITH SOME EMERGENT WETLAND VEGETATION.",2360,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: M. GARRETT & K. ENGEL",NA,"Engel ","PO","NR",NA,NA,1,1,"103_1"
104,"RACA","Low","7/22/1983","7/22/1983",22,7,1983,"IN A CREEK THAT CROSSES NANNIE CREEK TRAIL","NANNIE CREEK TRAIL",104,42.3715,-122.0943,1,"1983: 1 FROG",NA,NA,6585,NA,NA,NA,"Fremont-Winema National Forest; Cherry Creek Basin RNA; KLAMATH RANGER DISTRICT; Sky Lakes Wilderness Area",NA,NA,"OBSERVER: RON MILLER & MELISSA MILLER. IDENTIFIED AS SPOTTED FROG; PROBABLY CASCADE FROG BASED ON ELEVATION.",NA,"Tyson 1990","PO","NR",NA,NA,1,1,"104_1"
105,"RACA","High","5/18/1992","5/18/1992",18,5,1992,"APPROX 2 MI NW SKOOKUM POND. SOUTH UMPQUA RD #28 TO BUCKEYE CREEK RD #29 TO RD 2924",NA,105,43.0128,-122.3733,1,"1992:2(1 ADULT) REHYDRATING.",NA,"SMALL POOL IN STREAM BED",3200,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,NA,NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"105_1"
106,"RACA","Low","1987","7/8/1992",8,7,1992,"CRATER CREEK HEADWATERS FROM LITTLE CRATER MEADOWS.","CRATER CREEK HEADWATERS",106,45.093,-121.4543,1,"1992: 1 FROG SEEN. 1987:BREEDING POPULATIONS OF FROGS; LARGE NUMBERS OF ADULTS AND YOUNG.",NA,"BOGGY, MARSHY, ROCKY SHORELINE, NO AQUATIC VEGETATION; BOG MOSSES, SUNDEW, SEDGES, OTHERS; SURROUNDED BY FOREST. ISLANDS OF FOREST WITH SNAGS, ALSO IN SURROUNDING FOREST. SOME INVASION OF HEMLOCK & LODGEPOLE",3300,NA,NA,NA,"Mount Hood National Forest; BEAR SPRINGS RANGER DISTRICT",NA,"NO VISITORS, NO GRAZING, NO CLEARCUTS IMMEDIATELY AROUND (E.G. ROADS, FISHING TRAIL)","HABITAT POTENTIAL GOOD FOR A VARIETY OF AMPHIBIANS.",NA,"Corkran 1987; Corkran 1993","PO","NR",NA,NA,1,1,"106_1"
107,"RACA","Low","8/26/1992","8/26/1992",26,8,1992,"HEADWATERS OF DEER CREEK, ACCESSED BY ROAD 5840 BETWEEN 5900-6000 FOOT ELEVATION","DEER CREEK",107,43.1554,-121.5526,1,"1992: 1 ADULT, 29 JUVENILES WITHIN 2 ACRE AREA BREEDING AND REARING HABITAT.",NA,"DEER CREEK, WHICH FLOWS THROUGH A NARROW GRASS AND SEDGE MEADOW WITH SCATTERD SPRUCE AND LODGEPOLE PINE. ASSOC SSP: ENGELMAN SPRUCE, WHITE FIR, GRASSES, SEDGES",5900,NA,NA,NA,"Fremont-Winema National Forest; Mount Thielsen Wilderness Area; CHEMULT RANGER DISTRICT",NA,NA,"OBSERVER: RANDY FLOYD",NA,"Floyd ","PO","NR",NA,NA,1,1,"107_1"
108,"RACA","High","6/9/1992","6/9/1992",9,6,1992,"W. OF BUCKEYE LAKE. TAKE THE 28 RD TO THE 2823 RD. TAKE A RIGHT ON THE 2830 AND ANOTHER RIGHT ONTO THE 500 RD. FROM STA.#19 WALK UP DRAW. FROGS WERE FOUND IN A CREEK POOL.",NA,108,43.0344,-122.3414,1,"1992: TWO ANIMALS, AGE AND SEX UNSPECIFIED.",NA,"STEEP DRAW IN OLD GROWTH CONSISTING OF DOUG FIR, SUGAR PINE, WHITE FIR, INCENSE CEDAR, AND SALAL. MANY DEAD AND DOWN LOGS. CLOSED CANOPY COVER AND OPEN UNDERSTORY. SOME SMALL ROCK OUTCROPPINGS.",3600,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,"CLEARCUT NORTH OF DRAW","OBSERVER: S. BARNES",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"108_1"
109,"RACA","High","9/19/2010","9/19/2010",19,9,2010,"Burnt Creek","Burnt Creek",109,42.5533,-122.4905,1,"2010: (09/19): Frogs observed during ODFW Oregon Plan Habitat Survey.",NA,NA,1800,NA,NA,NA,"Umpqua National Forest",NA,NA,NA,NA,"Tippery 2011","PO","NR",NA,NA,1,1,"109_1"
110,"RACA","High","1943","1943",NA,NA,1943,"BOWERMAN LAKE, EIGHT LAKES BASIN","BOWERMAN LAKE",110,44.3102,-121.5125,1,"SPECIES REPORTED AT THIS SITE",NA,NA,5040,NA,NA,NA,"Willamette National Forest; DETROIT RANGER DISTRICT; Mount Jefferson Wilderness Area",NA,NA,"OBSERVER: F.G.EVENDEN. ORIGINALLY REPORTED AS R. PRETIOSA LUTEIVENTRIS (NEVADA SUBSPECIES OF SPOTTED FROG)",NA,"Evenden 1943; Hayes 1994","PO","NR",NA,NA,1,1,"110_1"
111,"RACA","High","8/15/1995","8/15/1995",15,8,1995,"ON LITTLE RIVER, JUST DOWNSTREAM FROM WOLF CREEK CAMPGROUND","WOLF CREEK CAMPGROUND",111,43.1418,-122.561,1,"1995: 1 FOUND.",NA,NA,1100,NA,NA,NA,"NORTH UMPQUA RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVED BY: D.MAJORS",NA,"Davis ","PO","NR",NA,NA,1,1,"111_1"
112,"RACA","High","8/28/2007","8/28/2007",28,8,2008,NA,"Grave Creek",112,43.1031,-122.2444,1,"2007: (08/28): Frogs discovered during ODFW Oregon Plan Habitat Survey.",NA,NA,4000,4551,NA,NA,"Umpqua National Forest",NA,NA,NA,NA,"Tippery 2011","PO","NR",NA,NA,1,1,"112_1"
113,"RACA","High","7/22/2010","7/22/2010",22,7,2010,NA,"N. Boulder Creek",113,45.2258,-122.0104,1,"2010: (07/22): Frogs observed during ODFW Oregon Plan Habitat Survey.",NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,"Tippery 2011","PO","NR",NA,NA,1,1,"113_1"
114,"RACA","Very High","7/22/2008","8/25/2010",25,8,2010,"Copeland Creek","Copeland Creek; Prong Creek",114,43.0957,-122.3624,1,"2010: (08/25): Frogs observed during ODFW Oregon Plan Habitat Survey. 2008: (07/22): Frogs observed during ODFW Oregon Plan Habitat Survey.",NA,NA,4000,NA,NA,NA,"Umpqua National Forest",NA,NA,NA,NA,"Tippery 2011","PO","NR",NA,NA,1,1,"114_1"
115,"RACA","High","1943","1943",NA,NA,1943,"RED BUTTE LAKE; EIGHT LAKES BASIN",NA,115,44.3035,-121.5201,1,"SPECIES REPORTED AT THIS SITE",NA,NA,5180,NA,NA,NA,"Willamette National Forest; DETROIT RANGER DISTRICT; Mount Jefferson Wilderness Area",NA,NA,"OBSERVER: F.G.EVENDEN. ORIGINALLY REPORTED AS R. PRETIOSA LUTEIVENTRIS (NEVADA SUBSPECIES OF SPOTTED FROG)",NA,"Evenden 1943; Hayes 1994","PO","NR",NA,NA,1,1,"115_1"
116,"RACA","Medium","5/24/1993","5/24/1993",24,5,1993,"E OF DEER LICK FALLS OFF OF BLACK ROCK CREEK. TAKE SPUR RD 440 OFF RD 28 PAST DEER LICK FALLS.",NA,116,43.0734,-122.3415,1,"1993: 13 FROGS, 5 IN 1 STREAM, 8 IN ANOTHER.",NA,"2 STREAMS, UNBUFFERED, 1 WITH A FEW YOUNG HARDWOODS.",3000,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: S. BARNES. FS RECORD #A-06-251.",NA,"Masters ","PO","NR",NA,NA,1,1,"116_1"
