"survey.id","site.id","year","date","lat","lon","habitatorigin","hydrol","elevation","ageofrecord","pavedrdlessthan100m","unpvdrdlessthan100m","greaterthan80prctforest","propemgtfltgvegcover","propperimpavedrd","propperimforest","fish.detected","survey.conducted","data.type","species","count","individual.id","time.to.detect","age","pass.id","survey.pass","day","month"
1,"Beta Wolf",2001,"2001-07-19",43.15015682,-122.4508894,"Natural","Seasonal",1639,1,0,0,1,0.35,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"1_1",19,7
2,"Black Wolf",2001,"2001-07-19",43.1491913,-122.4523493,"Natural","Permanent",1675,1,0,0,1,0.01,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"2_1",19,7
3,"Buckeye",2001,"2001-07-19",43.06218339,-122.522107,"Natural","Permanent",1305,2,0,0,1,0.5,0,0.9,1,1,"DND","RACA",0,NA,NA,"NR",1,"3_1",19,7
4,"Castor Pond",2001,"2001-07-11",43.11477595,-122.59042,"Natural","Permanent",755,1,0,0,1,0.84,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"4_1",11,7
5,"Cliff Lake",2001,"2001-07-19",43.05929498,-122.5161979,"Natural","Permanent",1350,2,0,0,0,0.6,0,0.8,1,1,"DND","RACA",1,NA,NA,"NR",1,"5_1",19,7
6,"Cottage Grove 1056",2001,"2001-07-26",43.59596629,-122.6026201,"Natural","Seasonal",1518,9,0,0,1,0.01,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"6_1",26,7
7,"Cottage Grove 2282",2001,"2001-07-26",43.67182194,-122.5716788,"Natural","Seasonal",1419,9,0,0,0,0.44,0,0.5,0,1,"DND","RACA",0,NA,NA,"NR",1,"7_1",26,7
8,"Deep Lake",2001,"2001-08-08",42.57218473,-122.1929748,"Natural","Permanent",1828,6,0,0,1,0.2,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"8_1",8,8
9,"Diamond Lake, S Shore",2001,"2001-07-18",43.13333803,-122.1470279,"Natural","Permanent",1580,9,1,0,0,0.88,0.1,0.6,1,1,"DND","RACA",0,NA,NA,"NR",1,"9_1",18,7
10,"Fawn Lake",2001,"2001-07-13",43.14386967,-122.4523968,"Natural","Permanent",1730,1,0,0,1,0.2,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"10_1",13,7
11,"Fuller Lake",2001,"2001-07-18",43.40106222,-122.4939135,"Natural","Permanent",1520,1,0,0,1,0.01,0,0.9,1,1,"DND","RACA",0,NA,NA,"NR",1,"11_1",18,7
12,"Grass Lake",2001,"2001-08-16",42.66030474,-122.2123836,"Natural","Permanent",1863,21,0,0,1,0.08,0,1,1,1,"DND","RACA",1,NA,NA,"NR",1,"12_1",16,8
13,"Grass Mtn.",2001,"2001-07-26",43.59261988,-122.5432026,"Natural","Seasonal",1478,9,0,0,1,0.3,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"13_1",26,7
14,"Horse Lake",2001,"2001-07-18",43.12483371,-122.1525798,"Natural","Permanent",1588,5,0,0,1,0.3,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"14_1",18,7
15,"I-1",2001,"2001-08-07",42.57347959,-122.2016945,"Natural","Permanent",1828,6,0,0,1,0.58,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"15_1",7,8
16,"Lake Liza",2001,"2001-08-08",42.57116956,-122.2036247,"Natural","Permanent",1835,6,0,0,1,0.03,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"16_1",8,8
17,"Little Three Creeks Lake B",2001,"2001-06-26",44.11092414,-121.6303628,"Natural","Permanent",1963,6,0,0,1,0.03,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"17_1",26,6
18,"Little Three Creeks Lake C",2001,"2001-06-26",44.10167543,-121.6339248,"Natural","Permanent",2022,6,0,0,1,0.33,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"18_1",26,6
19,"Lower Munson Meadow",2001,"2001-08-02",42.86933779,-122.1385888,"Natural","Seasonal",1890,48,0,0,1,0.01,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"19_1",2,8
20,"Maidu Lake",2001,"2001-08-01",43.25103649,-122,"Natural","Permanent",1828,1,0,0,1,0.1,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"20_1",1,8
21,"Poole Lake",2001,"2001-07-27",43.0239839,-122.4846872,"Natural","Permanent",1355,1,0,0,1,0.2,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"21_1",27,7
22,"Puck Lake, South",2001,"2001-08-09",42.62366095,-122.1752625,"Natural","Permanent",2009,6,0,0,1,0.05,0,1,1,1,"DND","RACA",1,NA,NA,"NR",1,"22_1",9,8
23,"Snow Lake, East",2001,"2001-07-12",43.03161212,-122.4829049,"Natural","Permanent",1457,1,0,0,1,0,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"23_1",12,7
24,"Snow Lake, West",2001,"2001-07-12",43.03230599,-122.4850103,"Natural","Permanent",1457,1,0,0,1,0,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"24_1",12,7
25,"Spruce Lake",2001,"2001-08-08",42.97928849,-122.2978183,"Natural","Seasonal",1462,50,0,0,1,0.15,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"25_1",8,8
26,"Stump Lake",2001,"2001-07-18",43.24373654,-122.2793301,"Man-made","Permanent",1204,8,0,1,0,0,0,0.75,1,1,"DND","RACA",1,NA,NA,"NR",1,"26_1",18,7
27,"Three Creeks Lake",2001,"2001-06-25",44.09906403,-121.6226408,"Natural","Permanent",2010,35,0,1,0,0,0,0.6,1,1,"DND","RACA",0,NA,NA,"NR",1,"27_1",25,6
28,"Three Creeks Lake A",2001,"2001-06-26",44.10974396,-121.6161073,"Natural","Permanent",1977,6,0,0,1,0,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"28_1",26,6
29,"Three Creeks Pond",2001,"2001-07-04",44.09997444,-121.6197461,"Natural","Seasonal",2011,6,0,1,0,0.45,0,0.7,1,1,"DND","RACA",1,NA,NA,"NR",1,"29_1",4,7
30,"Three Lakes  A",2001,"2001-07-27",43.12705949,-122.2718251,"Natural","Permanent",1848,6,0,1,1,0.05,0,0.9,0,1,"DND","RACA",1,NA,NA,"NR",1,"30_1",27,7
31,"Toad Lake",2001,"2001-07-13",43.03737522,-122.4808923,"Natural","Permanent",1521,1,0,0,1,0.85,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"31_1",13,7
32,"Todd Lake",2001,"2001-06-27",44.03021362,-121.6851219,"Natural","Permanent",1890,6,0,0,0,0.04,0,0.6,1,1,"DND","RACA",1,NA,NA,"NR",1,"32_1",27,6
33,"Todd Lake A",2001,"2001-06-27",44.03227955,-121.6714736,"Natural","Permanent",2010,7,0,1,0,0.04,0,0.65,1,1,"DND","RACA",1,NA,NA,"NR",1,"33_1",27,6
34,"Todd Lake B",2001,"2001-06-27",44.01974058,-121.6748105,"Natural","Seasonal",1930,7,0,1,1,0.3,0,0.95,1,1,"DND","RACA",1,NA,NA,"NR",1,"34_1",27,6
35,"Triangle Lake",2001,"2001-07-20",43.02674343,-122.4815833,"Natural","Permanent",1404,2,0,1,1,0.05,0,0.85,1,1,"DND","RACA",1,NA,NA,"NR",1,"35_1",20,7
36,"Unnamed  147",2001,"2001-06-21",44.22069008,-121.9057604,"Natural","Seasonal",1582,6,0,0,1,0.9,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"36_1",21,6
37,"Unnamed  148",2001,"2001-06-21",44.22045483,-121.9065785,"Natural","Seasonal",1583,6,0,0,1,0.8,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"37_1",21,6
38,"Unnamed  149",2001,"2001-08-20",44.21838746,-121.9125882,"Natural","Permanent",1585,6,0,0,1,0.2,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"38_1",20,8
39,"Unnamed  151",2001,"2001-07-05",44.21476574,-121.9104392,"Natural","Seasonal",1585,6,0,0,1,0.25,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"39_1",5,7
40,"Unnamed  155",2001,"2001-07-05",44.20859644,-121.9017537,"Natural","Seasonal",1572,6,0,0,1,0.4,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"40_1",5,7
41,"Alder Spring",2002,"2002-08-07",44.6128847,-121.5427819,"Man-made","Permanent",1165,32,0,1,0,0.98,0,0.7,0,1,"DND","RACA",1,NA,NA,"NR",1,"41_1",7,8
42,"Badger Lake Pool",2002,"2002-08-08",45.30067945,-121.5575096,"Man-made","Permanent",1401,4,0,1,0,0.8,0,0.4,0,1,"DND","RACA",1,NA,NA,"NR",1,"42_1",8,8
43,"Bonney Creek & Meadows",2002,"2002-06-27",45.2652954,-121.5820135,"Natural","Seasonal",1605,12,0,0,1,0.95,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"43_1",27,6
44,"Breitenbush Lake Pools",2002,"2002-08-08",44.76340208,-121.782371,"Natural","Permanent",1707,11,0,1,0,0.45,0,0.7,1,1,"DND","RACA",0,NA,NA,"NR",1,"44_1",8,8
45,"Brooks Meadow",2002,"2002-06-26",45.41789572,-121.5202356,"Natural","Permanent",1340,9,1,0,0,0.85,0.5,0.5,0,1,"DND","RACA",1,NA,NA,"NR",1,"45_1",26,6
46,"Buckeye",2002,"2002-07-11",43.06218339,-122.522107,"Natural","Permanent",1305,2,0,0,1,0.5,0,0.9,1,1,"DND","RACA",0,NA,NA,"NR",1,"46_1",11,7
47,"Castor Pond",2002,"2002-07-11",43.11477595,-122.59042,"Natural","Permanent",755,1,0,0,1,0.84,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"47_1",11,7
48,"Cliff Lake",2002,"2002-07-11",43.05929498,-122.5161979,"Natural","Permanent",1350,2,0,0,0,0.6,0,0.8,1,1,"DND","RACA",0,NA,NA,"NR",1,"48_1",11,7
49,"Cottage Grove 2282",2002,"2002-07-09",43.67182194,-122.5716788,"Natural","Seasonal",1419,9,0,0,0,0.44,0,0.5,0,1,"DND","RACA",0,NA,NA,"NR",1,"49_1",9,7
50,"Crater Creek Meadow",2002,"2002-07-18",45.19271844,-121.7535424,"Natural","Permanent",1218,15,0,0,1,0.97,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"50_1",18,7
51,"Diamond Lake, S Shore",2002,"2002-07-29",43.13333803,-122.1470279,"Natural","Permanent",1580,9,1,0,0,0.88,0.1,0.6,1,1,"DND","RACA",1,NA,NA,"NR",1,"51_1",29,7
52,"Dry Meadow",2002,"2002-08-08",45.19543368,-121.7665072,"Natural","Seasonal",1216,4,0,0,1,0.97,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"52_1",8,8
53,"Fay Lake Upper",2002,"2002-07-23",44.51151815,-121.9754936,"Natural","Permanent",1160,11,0,0,1,0.37,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"53_1",23,7
54,"Fuller Lake",2002,"2002-07-10",43.40106222,-122.4939135,"Natural","Permanent",1520,1,0,0,1,0.01,0,0.9,1,1,"DND","RACA",0,NA,NA,"NR",1,"54_1",10,7
55,"Gate Pond",2002,"2002-07-17",45.51407043,-122.080329,"Man-made","Seasonal",950,9,1,0,0,0.13,0.5,0.5,0,1,"DND","RACA",1,NA,NA,"NR",1,"55_1",17,7
56,"Government Camp Rest Area",2002,"2002-06-25",45.30080953,-121.743727,"Man-made","Seasonal",1225,7,1,0,0,0.58,0.5,0.27,0,1,"DND","RACA",1,NA,NA,"NR",1,"56_1",25,6
57,"Green Lakes",2002,"2002-08-13",44.08265017,-121.7322101,"Natural","Permanent",2010,10,0,0,0,0.08,0,0.45,1,1,"DND","RACA",1,NA,NA,"NR",1,"57_1",13,8
58,"I-1",2002,"2002-07-31",42.57347959,-122.2016945,"Natural","Permanent",1828,6,0,0,1,0.58,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"58_1",31,7
59,"Irish Camp",2002,"2002-07-24",44.19787037,-121.9231525,"Natural","Permanent",1454,11,0,1,1,0.03,0,0.95,1,1,"DND","RACA",0,NA,NA,"NR",1,"59_1",24,7
60,"Jackpot Meadow",2002,"2002-07-18",45.19974521,-121.7714942,"Natural","Permanent",1185,1,0,0,1,0.9,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"60_1",18,7
61,"Lake Liza",2002,"2002-07-31",42.57116956,-122.2036247,"Natural","Permanent",1835,6,0,0,1,0.03,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"61_1",31,7
62,"Lake West",2002,"2002-07-30",43.07890054,-122.2357883,"Natural","Permanent",1565,50,0,1,0,0.25,0,0.65,0,1,"DND","RACA",1,NA,NA,"NR",1,"62_1",30,7
63,"Latourell Pond",2002,"2002-07-17",45.54892572,-122.0044587,"Man-made","Permanent",915,9,1,0,0,0.38,0.2,0.4,1,1,"DND","RACA",0,NA,NA,"NR",1,"63_1",17,7
64,"Little Three Creeks Lake B",2002,"2002-08-05",44.11092414,-121.6303628,"Natural","Permanent",1963,6,0,0,1,0.03,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"64_1",5,8
65,"Little Three Creeks Lake C",2002,"2002-08-06",44.10167543,-121.6339248,"Natural","Permanent",2022,6,0,0,1,0.33,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"65_1",6,8
66,"Parish Lake Rd. Pond",2002,"2002-07-23",44.52838892,-122.04507,"Man-made","Permanent",1097,11,0,1,0,0.37,0,0.4,1,1,"DND","RACA",0,NA,NA,"NR",1,"66_1",23,7
67,"Quilwort Pond",2002,"2002-07-30",42.84893675,-122.1561656,"Natural","Permanent",1891,51,0,0,1,0.05,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"67_1",30,7
68,"Smith Prairie",2002,"2002-07-22",44.3781449,-122.026251,"Natural","Permanent",1047,11,0,0,1,0.45,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"68_1",22,7
69,"Sparks Lake Ponds",2002,"2002-07-25",44.02790041,-121.74522,"Natural","Permanent",1647,10,1,0,0,0.68,0.3,0.1,0,1,"DND","RACA",1,NA,NA,"NR",1,"69_1",25,7
70,"Summit Spring",2002,"2002-08-06",44.43538266,-121.5715018,"Man-made","Permanent",1183,11,0,1,0,0.48,0,0.02,0,1,"DND","RACA",0,NA,NA,"NR",1,"70_1",6,8
71,"Timothy L (NE end)",2002,"2002-07-19",45.14370653,-121.7636802,"Altered","Permanent",1005,1,0,0,1,0.9,0,0.9,1,1,"DND","RACA",1,NA,NA,"NR",1,"71_1",19,7
72,"Upper Green Lake Pond",2002,"2002-06-27",45.21502177,-121.6572323,"Natural","Permanent",1419,15,0,0,1,0.48,0,0.95,0,1,"DND","RACA",1,NA,NA,"NR",1,"72_1",27,6
73,"Whitehorse Pond  H",2002,"2002-07-31",42.87237592,-122.1960042,"Natural","Seasonal",1949,6,0,0,1,0.02,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"73_1",31,7
74,"Alder Spring",2003,"2003-06-20",44.6128847,-121.5427819,"Man-made","Permanent",1165,32,0,1,0,0.98,0,0.7,0,1,"DND","RACA",0,NA,NA,"NR",1,"74_1",20,6
75,"Bear Springs",2003,"2003-06-20",44.49657515,-121.580247,"Man-made","Permanent",1290,33,0,0,1,0.95,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"75_1",20,6
76,"Breitenbush Lake Pools",2003,"2003-07-17",44.76340208,-121.782371,"Natural","Permanent",1707,11,0,1,0,0.45,0,0.7,1,1,"DND","RACA",0,NA,NA,"NR",1,"76_1",17,7
77,"Brooks Meadow",2003,"2003-07-15",45.41789572,-121.5202356,"Natural","Permanent",1340,9,1,0,0,0.85,0.5,0.5,0,1,"DND","RACA",0,NA,NA,"NR",1,"77_1",15,7
78,"Cottage Grove 2282",2003,"2003-07-12",43.67182194,-122.5716788,"Natural","Seasonal",1419,9,0,0,0,0.44,0,0.5,0,1,"DND","RACA",0,NA,NA,"NR",1,"78_1",12,7
79,"Diamond Lake, S Shore",2003,"2003-06-25",43.13333803,-122.1470279,"Natural","Permanent",1580,9,1,0,0,0.88,0.1,0.6,1,1,"DND","RACA",1,NA,NA,"NR",1,"79_1",25,6
80,"Dry Meadow",2003,"2003-07-15",45.19543368,-121.7665072,"Natural","Seasonal",1216,4,0,0,1,0.97,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"80_1",15,7
81,"Fay Lake Upper",2003,"2003-07-23",44.51151815,-121.9754936,"Natural","Permanent",1160,11,0,0,1,0.37,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"81_1",23,7
82,"Fuller Lake",2003,"2003-06-24",43.40106222,-122.4939135,"Natural","Permanent",1520,1,0,0,1,0.01,0,0.9,1,1,"DND","RACA",0,NA,NA,"NR",1,"82_1",24,6
83,"Gate Pond",2003,"2003-07-16",45.51407043,-122.080329,"Man-made","Seasonal",950,9,1,0,0,0.13,0.5,0.5,0,1,"DND","RACA",1,NA,NA,"NR",1,"83_1",16,7
84,"Government Camp Rest Area",2003,"2003-07-15",45.30080953,-121.743727,"Man-made","Seasonal",1225,7,1,0,0,0.58,0.5,0.27,0,1,"DND","RACA",1,NA,NA,"NR",1,"84_1",15,7
85,"Irish Camp",2003,"2003-07-02",44.19787037,-121.9231525,"Natural","Permanent",1454,11,0,1,1,0.03,0,0.95,1,1,"DND","RACA",0,NA,NA,"NR",1,"85_1",2,7
86,"Latourell Pond",2003,"2003-07-16",45.54892572,-122.0044587,"Man-made","Permanent",915,9,1,0,0,0.38,0.2,0.4,1,1,"DND","RACA",1,NA,NA,"NR",1,"86_1",16,7
87,"Little Three Creeks Lake C",2003,"2003-07-01",44.10167543,-121.6339248,"Natural","Permanent",2022,6,0,0,1,0.33,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"87_1",1,7
88,"Parish Lake",2003,"2003-07-23",44.53087283,-122.07672,"Natural","Permanent",1038,9,0,0,1,0.25,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"88_1",23,7
89,"Parish Lake Rd. Pond",2003,"2003-07-23",44.52838892,-122.04507,"Man-made","Permanent",1097,11,0,1,0,0.37,0,0.4,1,1,"DND","RACA",0,NA,NA,"NR",1,"89_1",23,7
90,"Prospect Pond",2003,"2003-06-25",43.03342338,-122.3618307,"Natural","Seasonal",1160,4,1,0,1,0.55,0.02,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"90_1",25,6
91,"Quilwort Pond",2003,"2003-06-26",42.84893675,-122.1561656,"Natural","Permanent",1891,51,0,0,1,0.05,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"91_1",26,6
92,"Sparks Lake Ponds",2003,"2003-07-02",44.02790041,-121.74522,"Natural","Permanent",1647,10,1,0,0,0.68,0.3,0.1,0,1,"DND","RACA",1,NA,NA,"NR",1,"92_1",2,7
93,"Summit Spring",2003,"2003-06-20",44.43538266,-121.5715018,"Man-made","Permanent",1183,11,0,1,0,0.48,0,0.02,0,1,"DND","RACA",0,NA,NA,"NR",1,"93_1",20,6
94,"Three Creeks Lake A",2003,"2003-07-01",44.10974396,-121.6161073,"Natural","Permanent",1977,6,0,0,1,0,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"94_1",1,7
95,"Three Creeks Pond",2003,"2003-07-01",44.09997444,-121.6197461,"Natural","Seasonal",2011,6,0,1,0,0.45,0,0.7,1,1,"DND","RACA",1,NA,NA,"NR",1,"95_1",1,7
96,"Upper Green Lake Pond",2003,"2003-07-17",45.21502177,-121.6572323,"Natural","Permanent",1419,15,0,0,1,0.48,0,0.95,0,1,"DND","RACA",1,NA,NA,"NR",1,"96_1",17,7
97,"Whitehorse Pond  H",2003,"2003-06-27",42.87237592,-122.1960042,"Natural","Seasonal",1949,6,0,0,1,0.02,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"97_1",27,6
98,"Alder Spring",2004,"2004-07-21",44.6128847,-121.5427819,"Man-made","Permanent",1165,32,0,1,0,0.98,0,0.7,0,1,"DND","RACA",1,NA,NA,"NR",1,"98_1",21,7
99,"Badger Lake Pool",2004,"2004-06-29",45.30067945,-121.5575096,"Man-made","Permanent",1401,4,0,1,0,0.8,0,0.4,0,1,"DND","RACA",1,NA,NA,"NR",1,"99_1",29,6
100,"Bonney Creek & Meadows",2004,"2004-06-29",45.2652954,-121.5820135,"Natural","Seasonal",1605,12,0,0,1,0.95,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"100_1",29,6
101,"Brooks Meadow",2004,"2004-06-17",45.41789572,-121.5202356,"Natural","Permanent",1340,9,1,0,0,0.85,0.5,0.5,0,1,"DND","RACA",1,NA,NA,"NR",1,"101_1",17,6
102,"Crater Creek Meadow",2004,"2004-06-16",45.19271844,-121.7535424,"Natural","Permanent",1218,15,0,0,1,0.97,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"102_1",16,6
103,"Dry Meadow",2004,"2004-06-16",45.19543368,-121.7665072,"Natural","Seasonal",1216,4,0,0,1,0.97,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"103_1",16,6
104,"Gate Pond",2004,"2004-06-17",45.51407043,-122.080329,"Man-made","Seasonal",950,9,1,0,0,0.13,0.5,0.5,0,1,"DND","RACA",1,NA,NA,"NR",1,"104_1",17,6
105,"Government Camp Rest Area",2004,"2004-06-16",45.30080953,-121.743727,"Man-made","Seasonal",1225,7,1,0,0,0.58,0.5,0.27,0,1,"DND","RACA",1,NA,NA,"NR",1,"105_1",16,6
106,"Jackpot Meadow",2004,"2004-06-16",45.19974521,-121.7714942,"Natural","Permanent",1185,1,0,0,1,0.9,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"106_1",16,6
107,"Latourell Pond",2004,"2004-06-17",45.54892572,-122.0044587,"Man-made","Permanent",915,9,1,0,0,0.38,0.2,0.4,1,1,"DND","RACA",0,NA,NA,"NR",1,"107_1",17,6
108,"Little Three Creeks Lake B",2004,"2004-07-22",44.11092414,-121.6303628,"Natural","Permanent",1963,6,0,0,1,0.03,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"108_1",22,7
109,"Sparks Lake Ponds",2004,"2004-07-25",44.02790041,-121.74522,"Natural","Permanent",1647,10,1,0,0,0.68,0.3,0.1,0,1,"DND","RACA",1,NA,NA,"NR",1,"109_1",25,7
110,"Summit Spring",2004,"2004-07-21",44.43538266,-121.5715018,"Man-made","Permanent",1183,11,0,1,0,0.48,0,0.02,0,1,"DND","RACA",0,NA,NA,"NR",1,"110_1",21,7
111,"Three Creeks Lake A",2004,"2004-07-22",44.10974396,-121.6161073,"Natural","Permanent",1977,6,0,0,1,0,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"111_1",22,7
112,"Todd Lake",2004,"2004-07-26",44.03021362,-121.6851219,"Natural","Permanent",1890,6,0,0,0,0.04,0,0.6,1,1,"DND","RACA",1,NA,NA,"NR",1,"112_1",26,7
113,"Todd Lake A",2004,"2004-07-26",44.03227955,-121.6714736,"Natural","Permanent",2010,7,0,1,0,0.04,0,0.65,1,1,"DND","RACA",1,NA,NA,"NR",1,"113_1",26,7
114,"Todd Lake B",2004,"2004-07-26",44.01974058,-121.6748105,"Natural","Seasonal",1930,7,0,1,1,0.3,0,0.95,1,1,"DND","RACA",1,NA,NA,"NR",1,"114_1",26,7
115,"Upper Green Lake Pond",2004,"2004-06-29",45.21502177,-121.6572323,"Natural","Permanent",1419,15,0,0,1,0.48,0,0.95,0,1,"DND","RACA",1,NA,NA,"NR",1,"115_1",29,6
